رقم القيد الأصلي (قيود),التاريخ,البيان,رقم الحساب القديم,اسم الحساب,مدين,دائن,ملاحظة السطر
85,2024-08-14,قيد يدوي رقم 85 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,40000.0,,
85,2024-08-14,قيد يدوي رقم 85 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,40000.0,
86,2024-08-14,قيد يدوي رقم 86 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,35000.0,,
86,2024-08-14,قيد يدوي رقم 86 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,35000.0,
87,2024-08-14,قيد يدوي رقم 87 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,12000.0,,
87,2024-08-14,قيد يدوي رقم 87 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,12000.0,
88,2024-08-14,قيد يدوي رقم 88 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,30000.0,,عدد 1 خزان بيارة + 2 خزان لاعمال الدفاع المدني 
88,2024-08-14,قيد يدوي رقم 88 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,30000.0,عدد 1 خزان بيارة + 2 خزان لاعمال الدفاع المدني 
89,2024-08-14,قيد يدوي رقم 89 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,7000.0,,
89,2024-08-14,قيد يدوي رقم 89 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,7000.0,
64,2024-08-15,قيد يدوي رقم 64 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,3000.0,,
64,2024-08-15,قيد يدوي رقم 64 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,3000.0,
21,2024-08-16,قيد يدوي رقم 21 - أنشئ بواسطة محاسب ارمي,1205,مصاريف التاسيس,2500.0,,
21,2024-08-16,قيد يدوي رقم 21 - أنشئ بواسطة محاسب ارمي,1107,شركة يسم للتجارة,,2500.0,
22,2024-08-20,قيد يدوي رقم 22 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,50000.0,,
22,2024-08-20,قيد يدوي رقم 22 - أنشئ بواسطة محاسب ارمي,1107,شركة يسم للتجارة,,50000.0,
72,2024-08-20,قيد يدوي رقم 72 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,25000.0,,
72,2024-08-20,قيد يدوي رقم 72 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,25000.0,
80,2024-08-20,قيد يدوي رقم 80 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,73000.0,,
80,2024-08-20,قيد يدوي رقم 80 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,73000.0,
81,2024-08-20,قيد يدوي رقم 81 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,41000.0,,
81,2024-08-20,قيد يدوي رقم 81 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,41000.0,
82,2024-08-20,قيد يدوي رقم 82 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,60000.0,,
82,2024-08-20,قيد يدوي رقم 82 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,60000.0,
90,2024-08-20,قيد يدوي رقم 90 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,42000.0,,
90,2024-08-20,قيد يدوي رقم 90 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,42000.0,
91,2024-08-20,قيد يدوي رقم 91 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,81000.0,,
91,2024-08-20,قيد يدوي رقم 91 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,81000.0,
92,2024-08-20,قيد يدوي رقم 92 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,20000.0,,
92,2024-08-20,قيد يدوي رقم 92 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,20000.0,
23,2024-08-25,قيد يدوي رقم 23 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,8000.0,,حوال رحمن اكبر 
23,2024-08-25,قيد يدوي رقم 23 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,30000.0,,حوالة لسالم مصاريف ارمي 
23,2024-08-25,قيد يدوي رقم 23 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,8000.0,,حوالة لسالم للمقاولين
23,2024-08-25,قيد يدوي رقم 23 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,8000.0,,حوالة عرفان 
23,2024-08-25,قيد يدوي رقم 23 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,8000.0,,حوالة عرفان 
23,2024-08-25,قيد يدوي رقم 23 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,5000.0,,حوالة عبدالرشيد 
23,2024-08-25,قيد يدوي رقم 23 - أنشئ بواسطة محاسب ارمي,1107,شركة يسم للتجارة,,67000.0,حوالات لسالم ومقاولين شركة ارمي 
27,2024-08-26,قيد يدوي رقم 27 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,3400.0,,
27,2024-08-26,قيد يدوي رقم 27 - أنشئ بواسطة محاسب ارمي,1107,شركة يسم للتجارة,,3400.0,
12,2024-08-28,قيد يدوي رقم 12 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,150000.0,,
12,2024-08-28,قيد يدوي رقم 12 - أنشئ بواسطة محاسب ارمي,110201,حساب البنك الاهلي 12300001016808,,150000.0,
62,2024-09-01,قيد يدوي رقم 62 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,1322.24,,
62,2024-09-01,قيد يدوي رقم 62 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,1322.24,
34,2024-09-02,قيد يدوي رقم 34 - أنشئ بواسطة محاسب ارمي,1205,مصاريف التاسيس,6309.0,,
34,2024-09-02,قيد يدوي رقم 34 - أنشئ بواسطة محاسب ارمي,2105,ضريبة القيمة المضافة المستحقة,615.0,,
34,2024-09-02,قيد يدوي رقم 34 - أنشئ بواسطة محاسب ارمي,1107,شركة يسم للتجارة,,6924.0,
41,2024-09-02,قيد يدوي رقم 41 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,4330.0,,
41,2024-09-02,قيد يدوي رقم 41 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,4330.0,
